incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss
2,0,1,1,6,6,11,1,1,0,0,2,55200.0,6,10,1998,224,42,2,2,500,1212.75,0,0,1,9,11,3,0,-51400
2,1,0,3,0,0,4,1,2,1,2,0,54200.0,9,35,2014,179,32,2,0,1000,1433.42,6000000,0,0,10,0,3,53800,0
0,0,1,0,1,3,18,3,0,0,0,0,64000.0,10,3,1999,298,45,0,2,1000,1362.29,0,1,2,4,19,4,0,-51100
2,2,2,2,1,1,18,1,0,0,2,2,53680.0,6,8,2005,166,34,2,0,1000,1083.72,0,0,2,6,0,5,65600,-68200
2,1,0,1,4,3,23,1,2,2,3,1,108480.0,13,28,2015,285,41,0,0,1000,1436.79,0,0,6,9,17,5,70900,0
2,2,0,2,0,2,10,1,1,0,3,1,60320.0,3,34,2012,235,39,0,2,2000,1453.61,4000000,1,3,2,19,2,0,0
3,3,3,4,5,2,13,1,0,0,3,2,6490.0,13,20,2002,200,35,1,1,2000,1318.06,0,1,2,3,18,5,57300,-80600
3,3,1,4,5,0,10,1,2,1,3,2,4560.0,9,29,2007,295,46,1,1,500,1265.84,0,0,3,9,13,3,52200,-44500
3,3,3,4,0,4,10,1,1,2,1,1,6600.0,0,33,2005,244,40,2,2,2000,1267.81,5000000,0,5,3,18,5,0,0
0,1,1,1,1,4,3,3,0,0,1,1,68090.0,12,11,2009,242,41,2,1,2000,1153.54,6000000,1,5,10,14,4,0,-57000
0,1,1,2,1,6,17,2,2,2,0,1,81500.0,2,0,2013,222,40,0,0,1000,1226.78,0,1,3,1,4,4,49600,-49200
2,0,0,1,1,4,1,1,1,0,0,1,70590.0,10,2,2000,298,47,0,2,2000,1338.5,0,0,6,6,1,2,28800,0
0,2,2,1,6,6,17,3,2,0,3,0,29300.0,1,4,2010,255,39,2,1,500,1453.95,0,0,6,1,3,1,38200,0
2,2,2,1,0,3,7,1,1,1,2,0,78200.0,1,4,2009,135,34,0,1,2000,1687.53,0,0,3,10,0,2,0,-69600
0,1,2,2,4,0,9,2,1,0,3,1,53900.0,10,3,2006,479,60,0,2,1000,1188.45,0,0,4,3,4,2,0,-44800
0,2,0,0,5,2,19,3,0,2,0,0,56320.0,13,20,2007,191,38,0,0,2000,1253.44,0,0,5,2,17,1,0,0
1,3,1,4,4,5,10,1,2,1,0,0,6160.0,9,35,1996,127,31,2,2,500,1255.02,0,1,0,11,15,1,58200,0
2,0,0,0,1,5,17,1,2,2,1,0,59400.0,6,10,2014,328,48,0,1,500,1411.43,0,1,5,1,3,3,45100,-32800
0,1,2,2,6,1,12,3,1,2,0,0,81070.0,2,37,2001,210,41,0,2,500,1222.75,0,1,2,3,14,2,0,-41000
2,2,2,2,4,1,12,1,0,1,0,2,61700.0,10,2,2005,292,44,2,2,500,1097.57,0,1,6,8,1,4,0,0
0,1,2,3,6,6,20,3,1,0,3,2,45630.0,0,23,2011,106,31,0,2,2000,1320.75,0,0,3,4,18,5,54100,0
2,1,1,1,4,5,16,1,0,2,0,2,54300.0,12,18,2010,143,30,1,0,500,1392.39,5000000,0,2,3,7,4,0,-65700
0,0,0,0,1,0,6,3,1,0,3,2,64800.0,11,15,2000,150,31,1,2,1000,1354.5,0,1,5,6,0,0,52800,0
1,3,3,4,1,0,4,1,1,0,2,1,5060.0,6,8,2012,112,32,2,2,1000,1238.92,0,1,0,7,0,2,57800,-53700
0,1,0,2,4,0,21,3,1,1,0,1,61050.0,4,30,2011,279,45,1,1,2000,1333.97,6000000,0,4,7,3,4,61100,-30700
0,1,2,2,6,5,15,3,2,1,1,0,84600.0,3,25,2007,292,42,1,1,1000,1588.22,0,1,3,6,4,2,0,-53800
2,0,2,3,1,0,10,1,1,2,2,0,56000.0,3,25,2009,200,34,1,1,1000,828.42,3000000,0,1,9,1,2,0,0
3,3,1,4,2,4,5,1,0,2,0,2,6930.0,12,18,2001,80,25,0,0,2000,1075.18,5000000,0,6,1,8,0,67700,-58400
0,0,1,1,1,1,16,3,0,0,2,1,64920.0,5,16,1997,217,39,0,2,2000,1399.85,0,0,5,7,16,2,49900,-19800
1,3,3,3,1,2,9,1,1,2,3,0,6560.0,13,20,2003,283,48,2,2,1000,1474.66,0,0,3,11,13,0,0,-46200
3,3,3,3,6,4,3,1,0,1,1,0,3190.0,1,5,2004,211,40,0,2,1000,1575.86,0,0,6,7,17,3,0,0
1,3,3,4,1,0,4,1,2,1,2,1,4320.0,10,2,2003,125,31,1,2,500,1220.86,0,1,3,7,13,0,55400,-40400
2,1,1,0,6,6,0,1,2,2,0,2,39480.0,11,15,2002,429,56,2,1,1000,1127.89,6000000,1,0,6,16,3,67400,-43800
2,1,2,0,1,2,22,1,2,1,2,2,55600.0,7,17,2009,186,37,2,1,2000,1628.0,0,0,3,8,8,4,0,0
2,1,2,3,5,0,9,1,0,0,2,1,80080.0,3,32,2013,150,37,2,2,1000,1007.0,0,0,6,13,2,4,30400,-89400
3,3,3,3,1,3,7,1,1,1,2,0,4680.0,0,23,1999,321,44,0,2,2000,1344.56,6000000,1,0,6,10,0,0,-39100
2,2,0,3,4,0,6,1,2,0,0,0,55000.0,12,9,2008,136,32,1,0,500,1169.62,0,0,3,11,19,1,0,0
2,0,0,1,2,6,7,1,2,2,1,2,45540.0,6,10,1998,119,34,0,1,500,1299.18,0,0,1,12,10,5,57100,0
2,0,1,1,1,1,14,1,0,2,2,0,63120.0,1,5,2008,69,26,0,0,2000,924.72,0,0,2,6,0,4,0,0
0,0,0,3,4,0,10,3,0,2,1,1,47760.0,11,19,2013,448,57,0,0,2000,1376.16,0,0,6,12,10,3,38600,-50300
0,2,1,0,6,4,4,3,0,0,3,2,74880.0,0,33,2000,38,28,2,2,500,1122.95,4000000,1,5,8,9,2,78000,0
2,2,2,1,4,4,3,1,0,2,0,2,56000.0,3,25,2003,88,30,1,0,1000,1437.88,0,0,1,13,15,0,42800,-51200
0,2,1,1,6,3,22,3,1,0,1,0,66200.0,11,19,2012,290,45,2,2,2000,1215.36,0,1,0,12,15,3,54400,0
2,1,1,3,4,4,5,1,0,2,2,0,91650.0,0,33,2011,241,45,0,2,2000,1104.5,0,0,6,6,1,4,0,0
2,0,2,1,1,4,23,1,1,1,3,1,61560.0,5,16,2008,27,27,1,0,2000,1118.76,0,0,1,0,7,3,0,-55800
0,0,2,3,6,6,0,3,2,2,2,2,60480.0,13,20,2003,161,38,0,0,2000,1133.85,0,1,6,8,8,1,60200,0
2,1,1,2,4,1,13,1,2,1,3,0,70400.0,2,0,2000,299,42,2,0,2000,1437.33,0,0,0,2,12,5,25000,0
0,2,0,0,1,3,1,3,0,2,3,1,79090.0,4,30,2014,103,33,2,2,2000,1021.14,0,0,5,7,13,5,69500,-47700
2,2,1,3,4,0,18,1,0,2,3,2,33550.0,13,28,2005,298,46,2,2,1000,1138.42,6000000,1,3,9,7,3,36900,-55000
2,1,1,2,4,6,19,1,1,0,3,1,80280.0,3,34,2013,261,46,1,0,1000,870.55,0,1,6,9,4,4,0,-49400
2,2,1,0,5,2,4,1,1,1,2,0,43700.0,9,29,2007,64,29,2,1,2000,1202.28,0,1,2,3,6,2,0,-61400
2,0,1,1,4,2,2,1,0,0,3,1,64200.0,5,14,2002,250,43,0,2,2000,1539.06,0,1,5,11,8,2,37800,0
1,3,3,3,4,0,6,1,2,2,0,2,6820.0,2,0,2005,84,29,2,1,1000,1117.17,0,0,2,6,18,1,0,-29900
1,3,1,4,6,3,8,1,0,2,0,2,4200.0,7,36,2013,133,34,1,2,500,1074.07,0,0,3,9,3,0,70900,-61100
3,3,3,3,6,1,7,1,1,0,1,2,3190.0,10,3,2015,6,27,2,1,500,1075.71,0,0,2,9,7,4,0,-47400
0,1,2,3,0,6,20,3,1,0,0,2,69740.0,4,27,2003,239,40,1,0,500,1463.95,0,0,3,11,16,3,0,0
0,2,2,1,3,1,13,3,0,1,1,1,55260.0,9,35,2000,123,34,2,2,2000,1270.21,0,0,1,11,17,0,16100,-61200
3,3,3,4,4,1,3,1,0,1,0,0,7080.0,9,26,2001,300,49,0,0,1000,1441.21,0,0,6,4,11,5,0,0
0,1,2,1,5,5,16,3,0,0,0,0,59130.0,5,13,2006,295,42,2,1,2000,1641.73,5000000,1,6,11,5,1,62400,0
3,3,1,4,4,1,13,1,0,0,3,0,6820.0,8,24,2009,339,49,1,2,2000,1570.77,0,1,3,0,13,1,98800,-65300
2,1,0,1,0,5,12,1,1,0,3,1,59940.0,6,8,1995,146,32,2,0,2000,1276.43,0,1,0,8,16,3,0,0
1,3,1,4,1,6,7,1,1,1,1,2,5590.0,11,19,2002,308,47,2,0,1000,1013.61,6000000,0,0,2,12,3,45700,-41400
3,3,3,4,0,6,17,1,1,2,1,0,7200.0,2,37,2004,38,28,2,1,1000,1019.44,0,1,5,13,19,1,0,-39700
2,1,0,2,1,4,16,1,2,2,1,0,77330.0,13,20,2014,364,51,0,0,500,1268.35,0,1,5,13,2,5,0,0
0,2,2,3,4,5,13,4,0,2,3,0,65070.0,8,7,2003,343,48,1,1,500,1451.54,3000000,1,3,0,10,0,0,0
2,1,1,1,3,4,14,1,0,0,0,1,62900.0,0,23,2006,20,21,2,1,1000,1390.29,0,0,5,8,14,2,0,-41200
0,0,2,1,1,2,21,3,2,0,2,1,66550.0,13,20,2003,305,49,0,0,2000,1347.92,0,0,2,4,3,3,0,-42100
2,1,0,2,1,0,2,1,1,0,1,2,46980.0,1,5,1998,458,62,0,2,2000,1356.92,5000000,1,0,5,0,5,0,0
2,0,2,2,1,6,0,1,1,2,1,1,48290.0,9,26,1995,66,28,1,0,2000,1472.77,0,1,0,0,8,0,0,-31700
3,3,3,3,6,3,3,1,2,2,0,1,4100.0,3,25,2009,286,41,0,1,1000,999.43,0,1,1,9,13,5,25800,0
2,0,2,3,1,2,20,1,1,2,2,2,60480.0,0,33,2001,222,38,1,0,2000,1157.97,0,1,4,6,10,1,0,-64500
0,2,2,3,1,3,23,3,2,1,1,2,88400.0,9,29,2010,399,55,0,2,2000,995.56,0,1,3,12,17,1,0,-65400
2,0,0,0,6,4,21,1,2,1,2,1,54160.0,11,21,2009,126,33,2,2,1000,1141.71,2000000,0,3,8,17,3,36700,-73400
0,1,0,2,2,0,2,4,0,2,2,0,47700.0,0,33,2011,157,31,1,2,500,1257.83,7000000,1,2,4,15,3,40700,-41600
2,1,0,0,4,6,14,1,1,2,3,1,70800.0,0,23,2012,22,29,1,1,2000,1238.62,6000000,1,4,3,19,2,0,-56200
2,0,1,1,6,4,0,1,2,1,1,1,38830.0,11,21,1999,151,37,1,2,1000,1728.56,0,0,5,4,7,3,54000,0
0,2,2,3,5,2,5,3,1,0,0,0,24200.0,11,15,2008,269,45,1,2,500,1330.46,0,0,2,6,17,5,54800,-64100
